date,messagecount
2017/2/24,1430
2017/3/3,1278
2017/3/10,1744
2017/3/17,1438
2017/3/24,1994
2017/3/31,1683
2017/4/7,1349
2017/4/14,1542
2017/4/21,1735
2017/4/28,1279
2017/5/5,1063
2017/5/12,9
2017/5/19,1
2017/5/26,95
2017/6/9,0
2017/6/16,0
2017/6/16,1
2017/6/23,52
2017/6/30,2
2017/7/7,127
2017/7/14,176
2017/7/21,40
2017/7/28,175
2017/8/4,352
2017/8/11,67
2017/8/18,107
2017/8/25,479
2017/9/1,822
2017/9/8,354
2017/9/15,144
2017/9/22,220
2017/10/6,0
2017/10/13,0
2017/10/13,1
2017/10/20,1
2017/10/27,25
2017/11/3,16
2017/11/10,8
2017/11/17,504
2017/11/24,111
2017/12/1,351
2017/12/8,702
2017/12/15,1135
2017/12/22,1842
2017/12/29,126
2018/1/5,85
2018/1/12,5
2018/1/19,1
2018/1/26,45
2018/2/2,175
2018/2/16,0
2018/2/16,1
2018/2/23,110